#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
1,Jaylen Brown,BOS,1,26,25,8,16,50,4,12,33.3,5,6,83.3,0,4,4,3,1,1,3,22,2021-21
2,Stephen Curry,GSW,4,22.8,24.5,8.5,17,50,4.3,10.5,40.5,3.3,4,81.3,0,4.5,4.5,2.5,2.5,0,2.8,22,2021-21
3,Julius Randle,NYK,3,32.7,23.3,8,16.3,49,2.3,6,38.9,5,6.7,75,1.7,8.3,10,3,1,0.3,2,25.7,2021-21
4,Zach LaVine,CHI,4,29,22.5,7.8,15,51.7,2.8,5.3,52.4,4.3,4.8,89.5,0.3,3.3,3.5,3.3,1.3,0.5,3,20.3,2021-21
5,Tyler Herro,MIA,5,27,22.4,8.2,16,51.3,2.6,5.8,44.8,3.4,3.8,89.5,0.2,4.6,4.8,3.2,0.8,0.2,2.4,20.8,2021-21
6,Jordan Poole,GSW,5,22.6,21.8,8,15.8,50.6,3.2,8.8,36.4,2.6,3,86.7,0.2,3.2,3.4,3,1,0.4,1.6,19.8,2021-21
7,Ja Morant,MEM,4,25.5,21,7.8,12.5,62,0.5,2.5,20,5,6.8,74.1,1,3,4,4.8,0.5,0.5,4.3,20,2021-21
8,Trae Young,ATL,2,23.5,20.5,7.5,18.5,40.5,3,8.5,35.3,2.5,2.5,100,0,1.5,1.5,9,0.5,0,3,17.5,2021-21
9,Jayson Tatum,BOS,3,28.3,20.3,6.7,16.7,40,2,7.3,27.3,5,6,83.3,1,7.7,8.7,3.3,1.7,0,4.7,18.3,2021-21
10,Kevin Durant,BKN,3,27.3,20,7.3,14.3,51.2,2.3,4.7,50,3,3.7,81.8,0.7,6,6.7,1.7,0.3,0.3,2,19.3,2021-21
11,Khris Middleton,MIL,2,21,19.5,7.5,10,75,2.5,3,83.3,2,2,100,0.5,3.5,4,2.5,1,0.5,2,23,2021-21
12,OG Anunoby,TOR,4,25.3,19.3,6.5,12.5,52,3.3,6,54.2,3,3.3,92.3,1.5,2.5,4,1.8,1.5,0.3,1.3,19.3,2021-21
13,LeBron James,LAL,3,24.3,18.7,7.7,16,47.9,1,4,25,2.3,2.7,87.5,0,5,5,4,1.3,0.7,3.7,17.3,2021-21
14,Jerami Grant,DET,4,28.5,18.5,5.8,13,44.2,1.5,4.5,33.3,5.5,6.8,81.5,0.3,3.5,3.8,2.8,0.3,0.8,2.3,15.3,2021-21
15,Giannis Antetokounmpo,MIL,3,21.3,18.3,7.3,10.7,68.8,1.3,2,66.7,2.3,4,58.3,1.3,7,8.3,4.3,1.3,0,1.7,25.7,2021-21
16,Jared Butler,UTA,3,24,18,7.3,15,48.9,2,6,33.3,1.3,2,66.7,0,1.3,1.3,4.3,1.3,0,2.7,14,2021-21
16,Jaren Jackson Jr.,MEM,4,27,18,6.5,14,46.4,3.5,7.3,48.3,1.5,2,75,2,5.3,7.3,1.3,0.8,1.3,1.3,19.3,2021-21
16,Michael Porter Jr.,DEN,3,24,18,7,14.3,48.8,3,6.7,45,1,1.3,75,1,4.7,5.7,2.3,0,0,1.7,16.7,2021-21
19,Jordan Nwora,MIL,5,23.8,17.8,7,15.8,44.3,2.8,6.8,41.2,1,1.2,83.3,0,5,5,2.6,1,0,1.8,15.6,2021-21
20,Trey Murphy III,NOP,4,29.5,17.5,5.5,12.8,43.1,4.3,8,53.1,2.3,2.5,90,1.5,5,6.5,1.8,0.3,0,1.3,17.3,2021-21
21,Anfernee Simons,POR,2,25.5,17,6,14.5,41.4,1.5,6.5,23.1,3.5,3.5,100,0.5,1,1.5,3.5,0.5,0.5,2,12.5,2021-21
21,Dejounte Murray,SAS,4,26,17,7,12.5,56,1.5,3.8,40,1.5,1.5,100,0.3,5.3,5.5,4.3,1.3,0.3,1.8,21,2021-21
21,Devin Booker,PHX,1,18,17,6,10,60,3,6,50,2,2,100,1,2,3,1,1,0,3,15,2021-21
21,Jimmy Butler,MIA,2,20.5,17,5.5,10.5,52.4,0.5,1,50,5.5,6.5,84.6,0,3,3,2,1,0,1,16,2021-21
25,DeMar DeRozan,CHI,4,29.3,16.8,6.5,15.3,42.6,0.8,2,37.5,3,3.5,85.7,0.5,4,4.5,2.5,0.3,0.5,2.3,13,2021-21
25,Isaiah Joe,PHI,4,24.5,16.8,5.3,8.8,60,4,6.8,59.3,2.3,2.5,90,0.3,2,2.3,2,1.8,0.8,0.3,19.5,2021-21
27,Nikola Jokić,DEN,3,24,16.3,6,10.7,56.3,1.7,3.7,45.5,2.7,3,88.9,2,8.3,10.3,5.7,1,1.7,1.7,28.3,2021-21
28,Derrick Rose,NYK,4,25,16.3,5.8,11.5,50,2,3.5,57.1,2.8,2.8,100,0.5,2.8,3.3,5.5,1.3,0,1,19.5,2021-21
28,Kevin Porter Jr.,HOU,4,29,16.3,5.3,14.5,36.2,2.5,6.5,38.5,3.3,5,65,0.8,2,2.8,4.3,1.3,0.3,3,10.8,2021-21
28,RJ Barrett,NYK,4,31.3,16.3,5.5,12.8,43.1,3,6.3,48,2.3,3.3,69.2,0.3,4,4.3,3,0.3,0.8,2.5,13.8,2021-21
31,Bam Adebayo,MIA,4,20.8,16,6.5,10.8,60.5,0,0,0,3,4.3,70.6,1.5,4.5,6,1.3,0.8,1.3,2.8,17,2021-21
31,CJ McCollum,NOP,3,21.3,16,6.3,15.3,41.3,2.7,7.3,36.4,0.7,0.7,100,0.3,1,1.3,3.3,1,0,1.7,11,2021-21
31,Malcolm Brogdon,IND,2,23,16,7,11.5,60.9,1.5,3.5,42.9,0.5,1.5,33.3,0.5,3,3.5,3.5,0.5,0,3,15,2021-21
31,Terry Rozier,CHA,2,22.5,16,4.5,9,50,3,6,50,4,5,80,0,0.5,0.5,4.5,0.5,0.5,1.5,15,2021-21
35,James Bouknight,CHA,4,23.8,15.8,5.8,12.8,45.1,0.8,3.8,20,3.5,3.8,93.3,0.5,2,2.5,1,1,0.3,2.5,10.8,2021-21
36,D'Angelo Russell,MIN,3,21,15.7,5.3,11,48.5,2.7,5.3,50,2.3,2.7,87.5,0.3,3.3,3.7,6.7,0.7,0,2,18.7,2021-21
37,Andre Drummond,BKN,4,21.8,15.5,5.8,9.3,62.2,0,0,0,4,6.5,61.5,3,5.5,8.5,3,0.8,1.8,2.8,20.8,2021-21
37,Damian Lillard,POR,2,21,15.5,5.5,9.5,57.9,3,6.5,46.2,1.5,2,75,0.5,2.5,3,2,0,0,2.5,13.5,2021-21
39,Terence Davis,SAC,4,18.5,15.3,5.3,11.3,46.7,3,7.8,38.7,1.8,2,87.5,0.5,3.3,3.8,1.8,1.5,0,1,15,2021-21
40,Bones Hyland,DEN,5,27.8,15.2,5.6,12.2,45.9,2.6,7.6,34.2,1.4,1.8,77.8,0.2,3.8,4,4.6,0.8,0.4,2.2,15.8,2021-21
41,Harrison Barnes,SAC,4,26,15,5.3,10.5,50,2.8,6.8,40.7,1.8,2,87.5,0.8,3.3,4,2.3,0.8,0.3,0.3,16.5,2021-21
41,Karl-Anthony Towns,MIN,4,22.8,15,5.5,10,55,1,4.3,23.5,3,3.3,92.3,1.8,5.5,7.3,4,0.8,0.8,2.3,20.8,2021-21
41,Keldon Johnson,SAS,5,25.2,15,5.6,12,46.7,0.8,2.8,28.6,3,4.8,62.5,0,4,4,2.2,0.4,0,1.2,12.2,2021-21
