#,c,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Season
1,Phoenix Suns,64,18,0.78,-,32-9,32-9,10-6,39-13,114.8,107.4,7.4,L1,6-4,2021-21
2,Memphis Grizzlies,56,26,0.683,8,30-11,26-15,11-5,36-16,115.6,109.9,5.7,L1,7-3,2021-21
3,Miami Heat,53,29,0.646,11,29-12,24-17,13-3,35-17,110,105.6,4.4,L1,6-4,2021-21
4,Golden State Warriors,53,29,0.646,11,31-10,22-19,12-4,33-19,111,105.5,5.5,W5,6-4,2021-21
5,Dallas Mavericks,52,30,0.634,12,29-12,23-18,14-2,36-16,108,104.7,3.3,W4,8-2,2021-21
6,Boston Celtics,51,31,0.622,13,28-13,23-18,9-7,33-19,111.8,104.5,7.3,W1,7-3,2021-21
7,Milwaukee Bucks,51,31,0.622,13,27-14,24-17,12-4,33-19,115.5,112.1,3.4,L1,6-4,2021-21
8,Philadelphia 76ers,51,31,0.622,13,24-17,27-14,6-10,32-20,109.9,107.3,2.6,W2,6-4,2021-21
9,Utah Jazz,49,33,0.598,15,29-12,20-21,15-1,33-19,113.6,107.6,6,W1,4-6,2021-21
10,Toronto Raptors,48,34,0.585,16,24-17,24-17,10-6,30-22,109.4,107.1,2.3,L1,8-2,2021-21
11,Denver Nuggets,48,34,0.585,16,23-18,25-16,6-10,29-23,112.7,110.4,2.3,L1,6-4,2021-21
12,Minnesota Timberwolves,46,36,0.561,18,26-15,20-21,12-4,32-20,116,113.3,2.7,L1,4-6,2021-21
13,Chicago Bulls,46,36,0.561,18,27-14,19-22,10-6,29-23,111.6,112,-0.4,W1,4-6,2021-21
14,Brooklyn Nets,44,38,0.537,20,20-21,24-17,10-6,31-21,112.9,112.1,0.8,W4,6-4,2021-21
15,Cleveland Cavaliers,44,38,0.537,20,25-16,19-22,10-6,27-25,107.8,105.7,2.1,W1,3-7,2021-21
16,Atlanta Hawks,43,39,0.524,21,27-14,16-25,9-7,26-26,113.9,112.4,1.5,W1,7-3,2021-21
17,Charlotte Hornets,43,39,0.524,21,22-19,21-20,8-8,27-25,115.3,114.9,0.4,W3,6-4,2021-21
18,LA Clippers,42,40,0.512,22,25-16,17-24,9-7,26-26,108.4,108.4,0,W5,6-4,2021-21
19,New York Knicks,37,45,0.451,27,17-24,20-21,5-11,22-30,106.5,106.6,-0.1,W2,7-3,2021-21
20,New Orleans Pelicans,36,46,0.439,28,19-22,17-24,6-10,25-27,109.3,110.3,-1,L2,6-4,2021-21
21,Washington Wizards,35,47,0.427,29,21-20,14-27,7-9,24-28,108.6,112,-3.4,L3,5-5,2021-21
22,San Antonio Spurs,34,48,0.415,30,16-25,18-23,6-10,24-28,113.2,113,0.2,L3,6-4,2021-21
23,Los Angeles Lakers,33,49,0.402,31,21-20,12-29,3-13,18-34,112.1,115.1,-3,W2,2-8,2021-21
24,Sacramento Kings,30,52,0.366,34,16-25,14-27,6-10,20-32,110.3,115.8,-5.5,W1,5-5,2021-21
25,Portland Trail Blazers,27,55,0.329,37,17-24,10-31,1-15,11-1,106.2,115.1,-8.9,L11,0-10,2021-21
26,Indiana Pacers,25,57,0.305,39,16-25,9-1,2-14,11-1,111.5,114.9,-3.4,L10,0-10,2021-21
27,Oklahoma City Thunder,24,58,0.293,40,29-Dec,12-29,6-10,17-35,103.7,111.8,-8.1,L3,4-6,2021-21
28,Detroit Pistons,23,59,0.28,41,13-28,10-31,6-10,18-34,104.8,112.5,-7.7,L3,4-6,2021-21
29,Orlando Magic,22,60,0.268,42,29-Dec,10-31,3-13,12-1,104.2,112.2,-8,W1,3-7,2021-21
30,Houston Rockets,20,62,0.244,44,30-Nov,9-1,3-13,11-1,109.7,118.2,-8.5,L7,3-7,2021-21
1,Milwaukee Bucks,58,24,0.707,-,32-9,26-15,11-5,35-17,116.9,113.3,3.6,L2,6-4,2022-23
2,Boston Celtics,57,25,0.695,1,32-9,25-16,11-5,34-18,117.9,111.4,6.5,W3,8-2,2022-23
3,Philadelphia 76ers,54,28,0.659,4,29-12,25-16,10-6,34-18,115.2,110.9,4.3,W2,5-5,2022-23
4,Denver Nuggets,53,29,0.646,5,34-7,19-22,10-6,34-18,115.8,112.5,3.3,W1,5-5,2022-23
5,Memphis Grizzlies,51,31,0.622,7,35-6,16-25,13-3,30-22,116.9,113,3.9,L1,6-4,2022-23
6,Cleveland Cavaliers,51,31,0.622,7,31-10,20-21,13-3,34-18,112.3,106.9,5.4,L1,7-3,2022-23
7,Sacramento Kings,48,34,0.585,10,23-18,25-16,9-7,32-20,120.7,118.1,2.6,L3,5-5,2022-23
8,New York Knicks,47,35,0.573,11,23-18,24-17,8-8,32-20,116,113.1,2.9,L2,5-5,2022-23
9,Phoenix Suns,45,37,0.549,13,28-13,17-24,9-7,30-22,113.6,111.6,2,L2,7-3,2022-23
10,Brooklyn Nets,45,37,0.549,13,23-18,22-19,7-9,30-22,113.4,112.5,0.9,L1,6-4,2022-23
11,Miami Heat,44,38,0.537,14,27-14,17-24,10-6,24-28,109.5,109.8,-0.3,W1,6-4,2022-23
12,LA Clippers,44,38,0.537,14,23-18,21-20,9-7,27-25,113.6,113.1,0.5,W3,6-4,2022-23
13,Golden State Warriors,44,38,0.537,14,33-8,11-30,7-9,30-22,118.9,117.1,1.8,W3,8-2,2022-23
14,Los Angeles Lakers,43,39,0.524,15,23-18,20-21,6-10,27-25,117.2,116.6,0.6,W2,8-2,2022-23
15,Minnesota Timberwolves,42,40,0.512,16,22-19,20-21,8-8,29-23,115.8,115.8,0,W3,7-3,2022-23
16,New Orleans Pelicans,42,40,0.512,16,27-14,15-26,11-5,29-23,114.4,112.5,1.9,L1,7-3,2022-23
17,Atlanta Hawks,41,41,0.5,17,24-17,17-24,8-8,26-26,118.4,118.1,0.3,L2,5-5,2022-23
18,Toronto Raptors,41,41,0.5,17,27-14,14-27,4-12,26-26,112.9,111.4,1.5,W1,6-4,2022-23
19,Chicago Bulls,40,42,0.488,18,22-19,18-23,7-9,27-25,113.1,111.8,1.3,W2,6-4,2022-23
20,Oklahoma City Thunder,40,42,0.488,18,24-17,16-25,9-7,25-27,117.5,116.4,1.1,W2,4-6,2022-23
21,Dallas Mavericks,38,44,0.463,20,23-18,15-26,9-7,28-24,114.2,114.1,0.1,L2,2-8,2022-23
22,Utah Jazz,37,45,0.451,21,23-18,14-27,6-10,24-28,117.1,118,-0.9,L1,2-8,2022-23
23,Indiana Pacers,35,47,0.427,23,20-21,15-26,7-9,24-28,116.3,119.5,-3.2,W1,3-7,2022-23
24,Washington Wizards,35,47,0.427,23,19-22,16-25,8-8,21-31,113.2,114.4,-1.2,L1,3-7,2022-23
25,Orlando Magic,34,48,0.415,24,20-21,14-27,7-9,20-32,111.4,114,-2.6,L4,5-5,2022-23
26,Portland Trail Blazers,33,49,0.402,25,17-24,16-25,7-9,23-29,113.4,117.4,-4,L4,1-9,2022-23
27,Charlotte Hornets,27,55,0.329,31,13-28,14-27,7-9,15-37,111,117.2,-6.2,W1,5-5,2022-23
28,Houston Rockets,22,60,0.268,36,14-27,8-1,4-12,12-1,110.7,118.6,-7.9,W3,4-6,2022-23
29,San Antonio Spurs,22,60,0.268,36,14-27,8-1,3-13,10-1,113,123.1,-10.1,W1,3-7,2022-23
30,Detroit Pistons,17,65,0.207,41,1-Sep,8-1,2-14,8-1,110.3,118.5,-8.2,L1,1-9,2022-23
1,Boston Celtics,64,18,0.78,-,37-4,27-14,15-2,41-11,120.6,109.2,11.4,W2,7-3,2023-24
2,Oklahoma City Thunder,57,25,0.695,7,33-8,24-17,12-4,36-16,120.1,112.7,7.4,W5,7-3,2023-24
3,Denver Nuggets,57,25,0.695,7,33-8,24-17,10-6,33-19,114.9,109.6,5.3,W1,6-4,2023-24
4,Minnesota Timberwolves,56,26,0.683,8,30-11,26-15,12-4,37-15,113,106.5,6.5,L1,6-4,2023-24
5,LA Clippers,51,31,0.622,13,25-16,26-15,9-7,30-22,115.6,112.3,3.3,L3,6-4,2023-24
6,Dallas Mavericks,50,32,0.61,14,25-16,25-16,11-5,31-21,117.9,115.6,2.3,L2,7-3,2023-24
7,New York Knicks,50,32,0.61,14,27-14,23-18,12-5,35-17,112.8,108.2,4.6,W5,6-4,2023-24
8,Milwaukee Bucks,49,33,0.598,15,31-11,18-22,10-7,34-18,119,116.4,2.6,L2,3-7,2023-24
9,New Orleans Pelicans,49,33,0.598,15,21-19,28-14,9-7,30-22,115.1,110.7,4.4,L1,5-5,2023-24
10,Phoenix Suns,49,33,0.598,15,25-16,24-17,9-9,29-23,116.2,113.2,3,W3,7-3,2023-24
11,Cleveland Cavaliers,48,34,0.585,16,26-15,22-19,11-5,31-21,112.6,110.2,2.4,L1,4-6,2023-24
12,Orlando Magic,47,35,0.573,17,29-12,18-23,9-7,32-20,110.5,108.5,2,W1,5-5,2023-24
13,Los Angeles Lakers,47,35,0.573,17,28-14,19-21,7-10,27-25,118,117.4,0.6,W2,7-3,2023-24
14,Philadelphia 76ers,47,35,0.573,17,25-16,22-19,8-8,31-21,114.6,111.5,3.1,W8,8-2,2023-24
15,Indiana Pacers,47,35,0.573,17,26-15,21-20,11-6,32-20,123.3,120.2,3.1,W1,7-3,2023-24
16,Miami Heat,46,36,0.561,18,22-19,24-17,13-3,32-20,110.1,108.4,1.7,W2,7-3,2023-24
17,Sacramento Kings,46,36,0.561,18,24-17,22-19,10-7,30-22,116.6,114.8,1.8,W1,4-6,2023-24
18,Golden State Warriors,46,36,0.561,18,21-20,25-16,7-9,26-26,117.8,115.2,2.6,W1,8-2,2023-24
19,Houston Rockets,41,41,0.5,23,27-14,14-27,9-7,28-24,114.3,113.2,1.1,W2,4-6,2023-24
20,IChicago Bulls,39,43,0.476,25,20-21,19-22,7-9,22-29,112.3,113.7,-1.4,L1,5-5,2023-24
21,Atlanta Hawks,36,46,0.439,28,21-20,15-26,8-8,22-30,118.3,120.5,-2.2,L6,3-7,2023-24
22,Brooklyn Nets,32,50,0.39,32,20-21,12-29,5-11,24-28,110.4,113.3,-2.9,L2,5-5,2023-24
23,Utah Jazz,31,51,0.378,33,21-20,10-31,5-11,16-36,115.7,120.5,-4.8,L1,2-8,2023-24
24,Memphis Grizzlies,27,55,0.329,37,1-Sep,18-23,8-8,14-37,105.8,112.8,-7,L5,3-7,2023-24
25,Toronto Raptors,25,57,0.305,39,14-27,11-30,1-15,18-34,112.4,118.8,-6.4,L4,2-8,2023-24
26,San Antonio Spurs,22,60,0.268,42,29-Dec,10-31,3-13,14-37,112.1,118.6,-6.5,W2,6-4,2023-24
27,Charlotte Hornets,21,61,0.256,43,30-Nov,10-31,6-10,14-38,106.6,116.8,-10.2,W1,3-7,2023-24
