Player,Team,Affiliation,Year,RoundNumber,RoundPick,OverallPick
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6
Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7
Franz Wagner,Orlando Magic,Michigan,2021,1,8,8
Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9
Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10
James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11
Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12
Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13
Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14
Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15
Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16
Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17
Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18
Kai Jones,New York Knicks,Texas,2021,1,19,19
Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20
Keon Johnson,New York Knicks,Tennessee,2021,1,21,21
Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22
Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23
Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24
Quentin Grimes,LA Clippers,Houston,2021,1,25,25
Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26
Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27
Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28
Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29
Santi Aldama,Utah Jazz,Loyola-Maryland,2021,1,30,30
Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31
Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32
Jason Preston,Orlando Magic,Ohio,2021,2,3,33
Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34
Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35
Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36
JT Thor,Detroit Pistons,Auburn,2021,2,7,37
Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38
Neemias Queta,Sacramento Kings,Utah State,2021,2,9,39
Jared Butler,Sacramento Kings,Baylor,2021,2,10,40
Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41
Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42
Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43
Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44
Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45
Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46
David Johnson,Toronto Raptors,Louisville,2021,2,17,47
Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48
Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49
Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50
