#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Giannis Antetokounmpo,MIL,12,37.3,31.7,11.7,23.8,49.1,0.8,3.4,22.0,7.6,11.2,67.9,2.2,12.0,14.2,6.8,0.7,1.3,4.5, 34.3
1,Luka Dončić,DAL,15,36.8,31.7,10.7,23.5,45.5,3.4,9.9,34.5,6.9,9.0,77.0,0.7,9.1,9.8,6.4,1.8,0.6,3.9, 31.5
3,Nikola Jokić,DEN,5,34.2,31.0,12.2,21.2,57.5,1.0,3.6,27.8,5.6,6.6,84.8,3.4,9.8,13.2,5.8,1.6,1.0,4.8, 37.8
4,Jimmy Butler,MIA,17,37.0,27.4,9.8,19.3,50.6,1.4,4.0,33.8,6.5,7.8,84.1,2.4,4.9,7.4,4.6,2.1,0.6,1.5, 29.8
5,Stephen Curry,GSW,22,34.7,27.4,9.2,20.0,45.9,4.1,10.4,39.7,4.9,5.9,82.9,0.5,4.7,5.2,5.9,1.3,0.4,2.6, 25.7
6,Ja Morant,MEM,9,37.6,27.1,9.0,20.4,44.0,1.9,5.6,34.0,7.2,9.7,74.7,1.4,6.6,8.0,9.8,2.0,0.4,3.6, 29.9
7,Brandon Ingram,NOP,6,39.3,27.0,9.3,19.7,47.5,1.8,4.5,40.7,6.5,7.8,83.0,0.7,5.5,6.2,6.2,0.7,0.3,3.8, 24.8
8,Kevin Durant,BKN,4,44.0,26.3,8.0,20.8,38.6,1.8,5.3,33.3,8.5,9.5,89.5,0.5,5.3,5.8,6.3,1.0,0.3,5.3, 20.5
9,Jayson Tatum,BOS,24,41.0,25.6,8.4,19.7,42.6,3.2,8.2,39.3,5.7,7.1,80.0,1.0,5.7,6.7,6.2,1.2,0.9,4.2, 23.7
10,Donovan Mitchell,UTA,6,38.3,25.5,8.8,22.2,39.8,1.7,8.0,20.8,6.2,7.0,88.1,1.0,3.3,4.3,5.7,0.7,0.5,2.7, 19.8
11,Anthony Edwards,MIN,6,37.8,25.2,8.3,18.3,45.5,3.8,9.5,40.4,4.7,5.7,82.4,0.7,3.5,4.2,3.0,1.2,1.2,2.5, 21.2
12,Joel Embiid,PHI,10,38.5,23.6,7.8,16.1,48.4,0.7,3.3,21.2,7.3,8.9,82.0,2.1,8.6,10.7,2.1,0.4,0.8,3.2, 24.5
13,Devin Booker,PHX,10,36.6,23.3,7.9,17.5,45.1,2.8,6.5,43.1,4.7,5.3,88.7,1.0,3.8,4.8,4.4,0.5,0.4,3.2, 20.0
14,Jaylen Brown,BOS,24,38.3,23.1,8.2,17.5,47.0,2.5,6.7,37.3,4.2,5.5,76.3,1.4,5.5,6.9,3.5,1.1,0.4,3.1, 21.5
15,Pascal Siakam,TOR,6,43.3,22.8,8.5,17.8,47.7,0.7,2.8,23.5,5.2,6.0,86.1,1.3,5.8,7.2,5.8,1.2,1.0,2.2, 25.7
16,CJ McCollum,NOP,6,39.0,22.2,8.2,20.8,39.2,2.8,8.5,33.3,3.0,4.3,69.2,1.8,4.8,6.7,4.8,0.7,0.8,2.5, 18.7
17,Karl-Anthony Towns,MIN,6,37.0,21.8,6.5,13.3,48.8,1.7,3.7,45.5,7.2,8.3,86.0,1.8,9.0,10.8,2.2,0.7,2.0,4.5, 25.0
18,Jalen Brunson,DAL,18,34.9,21.6,8.1,17.3,46.6,1.4,4.2,34.7,4.0,5.0,80.0,0.8,3.8,4.6,3.7,0.8,0.1,1.1, 19.4
19,Kyrie Irving,BKN,4,42.5,21.3,7.0,15.8,44.4,2.0,5.3,38.1,5.3,5.3,100,1.5,3.8,5.3,5.3,1.8,1.3,2.3, 23.8
20,De'Andre Hunter,ATL,5,35.0,21.2,7.8,14.0,55.7,2.4,5.2,46.2,3.2,4.0,80.0,0.4,3.4,3.8,0.6,0.8,0.2,2.2, 17.4
21,DeMar DeRozan,CHI,5,40.6,20.8,7.8,19.0,41.1,0.0,1.8,0.0,5.2,6.0,86.7,0.2,5.2,5.4,4.8,1.8,0.4,2.2, 19.0
22,Tyrese Maxey,PHI,12,40.4,20.8,7.3,15.2,48.4,2.2,5.8,37.7,3.9,4.2,94.0,0.5,3.0,3.5,3.9,0.8,0.2,1.8, 19.3
23,Nikola Vučević,CHI,5,36.2,19.4,8.0,18.2,44.0,2.6,8.4,31.0,0.8,1.0,80.0,2.8,9.6,12.4,3.2,0.4,1.2,1.6, 24.6
24,Zach LaVine,CHI,4,38.3,19.3,6.8,15.8,42.9,2.3,6.0,37.5,3.5,3.8,93.3,0.0,5.3,5.3,6.0,0.8,0.3,3.0, 19.3
25,Jrue Holiday,MIL,12,38.6,19.1,7.4,19.6,37.9,2.1,6.6,31.6,2.2,2.6,83.9,1.0,4.6,5.6,6.5,1.8,0.6,2.8, 18.1
26,Klay Thompson,GSW,22,36.0,19.0,7.2,16.7,42.9,3.5,9.1,38.5,1.2,1.4,86.7,0.3,3.6,3.9,2.3,1.1,0.7,1.3, 16.0
27,Desmond Bane,MEM,12,35.7,18.8,6.3,13.3,47.8,3.6,7.3,48.9,2.5,2.9,85.7,0.4,3.3,3.8,2.2,0.9,0.8,1.3, 17.7
28,James Harden,PHI,12,39.9,18.6,5.3,13.2,40.5,2.3,6.3,36.8,5.6,6.3,89.3,0.9,4.8,5.7,8.6,0.8,0.7,4.2, 21.6
29,Bojan Bogdanović,UTA,6,35.7,18.0,6.5,13.5,48.1,1.8,5.5,33.3,3.2,4.0,79.2,0.5,3.7,4.2,1.7,0.3,0.0,2.0, 14.3
30,Deandre Ayton,PHX,13,30.5,17.9,8.1,12.6,64.0,0.2,0.3,50.0,1.6,2.5,63.6,2.5,6.4,8.9,1.7,0.4,0.8,1.5, 22.8
31,Chris Paul,PHX,13,34.5,17.5,6.7,11.9,56.1,1.5,3.8,38.8,2.7,2.8,94.6,0.5,3.6,4.2,8.3,1.5,0.2,2.4, 23.8
32,Jordan Clarkson,UTA,6,28.3,17.5,6.7,12.2,54.8,1.5,4.0,37.5,2.7,3.0,88.9,0.8,2.3,3.2,1.3,0.5,0.2,1.7, 15.2
33,OG Anunoby,TOR,6,36.2,17.3,6.5,13.7,47.6,2.3,6.8,34.1,2.0,2.7,75.0,1.2,2.8,4.0,2.5,1.0,0.2,1.7, 15.5
34,Jordan Poole,GSW,22,27.5,17.0,5.9,11.5,50.8,2.3,5.8,39.1,3.0,3.2,91.5,0.5,2.4,2.8,3.8,0.8,0.4,2.4, 16.3
35,Tobias Harris,PHI,12,38.8,16.9,6.8,13.5,50.0,1.8,4.8,38.6,1.6,1.8,86.4,0.8,6.8,7.6,2.9,1.1,0.8,1.5, 20.8
36,Andrew Wiggins,GSW,22,34.9,16.5,6.5,13.9,46.9,1.6,4.8,33.3,1.9,3.0,64.6,2.5,5.0,7.5,1.8,1.0,1.0,1.4, 18.1
37,Marcus Smart,BOS,21,36.2,15.4,5.4,13.3,40.5,2.3,6.5,35.0,2.4,3.0,80.6,1.0,3.6,4.5,5.9,1.2,0.2,2.5, 16.3
38,Jaren Jackson Jr.,MEM,12,27.7,15.4,4.9,13.0,37.8,2.3,6.0,37.5,3.3,4.4,75.5,2.2,4.6,6.8,0.9,0.8,2.5,1.4, 15.8
39,Trae Young,ATL,5,37.4,15.4,4.4,13.8,31.9,1.4,7.6,18.4,5.2,6.6,78.8,1.0,4.0,5.0,6.0,0.6,0.0,6.2, 10.0
40,Gary Trent Jr.,TOR,6,33.2,15.3,5.2,13.7,37.8,2.2,6.5,33.3,2.8,3.2,89.5,0.2,1.5,1.7,1.3,1.0,0.5,0.5, 10.5
41,Bam Adebayo,MIA,18,34.1,14.8,5.8,9.7,59.4,0.0,0.1,0.0,3.2,4.2,76.3,2.1,5.9,8.0,2.7,1.0,0.7,2.1, 20.1
42,Dillon Brooks,MEM,11,30.5,14.6,5.5,15.6,34.9,2.3,6.5,34.7,1.5,2.3,64.0,0.7,2.0,2.7,2.7,1.0,0.3,2.0, 8.4
43,Jonas Valančiūnas,NOP,6,29.2,14.5,5.5,11.3,48.5,0.2,1.0,16.7,3.3,4.3,76.9,5.5,8.8,14.3,3.0,0.7,0.2,2.0, 23.8
43,Seth Curry,BKN,4,33.0,14.5,5.5,9.8,56.4,3.0,5.8,52.2,0.5,0.8,66.7,0.5,2.0,2.5,3.0,0.3,0.8,0.8, 15.8
45,Bogdan Bogdanović,ATL,4,26.8,14.3,5.0,12.3,40.8,2.3,6.5,34.6,2.0,2.5,80.0,1.0,3.8,4.8,3.0,0.3,0.3,1.0, 13.8
46,Spencer Dinwiddie,DAL,18,27.8,14.2,4.4,10.7,41.7,2.2,5.3,41.7,3.1,3.7,82.1,0.4,2.0,2.4,3.6,0.8,0.3,1.6, 12.9
47,Bruce Brown,BKN,4,34.8,14.0,5.3,9.3,56.8,1.5,3.5,42.9,2.0,2.5,80.0,1.5,3.3,4.8,2.8,1.3,0.8,2.3, 16.8
47,Monté Morris,DEN,5,31.2,14.0,5.0,10.2,49.0,2.2,5.2,42.3,1.8,2.4,75.0,0.2,2.0,2.2,5.4,1.2,0.0,1.6, 15.4
49,Aaron Gordon,DEN,5,32.0,13.8,4.6,10.8,42.6,0.6,3.0,20.0,4.0,5.6,71.4,3.6,3.6,7.2,2.6,0.4,1.2,1.6, 15.8
49,Will Barton,DEN,5,34.4,13.8,5.4,13.2,40.9,2.2,5.6,39.3,0.8,1.2,66.7,1.0,4.6,5.6,2.8,0.8,0.2,2.0, 13.0
51,Mikal Bridges,PHX,13,38.5,13.3,5.1,10.6,47.8,1.0,2.5,39.4,2.2,2.3,93.3,0.9,3.8,4.7,2.8,1.1,1.0,0.8, 16.4
52,Tyler Herro,MIA,15,25.4,12.6,4.9,12.1,40.9,1.1,4.7,22.9,1.7,1.8,92.6,0.5,3.4,3.9,2.8,0.6,0.4,1.8, 11.2
53,Brandon Clarke,MEM,12,24.7,12.3,4.7,7.6,61.5,0.0,0.1,0.0,3.0,4.5,66.7,3.1,3.8,6.9,2.0,0.8,0.8,1.0, 17.4
54,Al Horford,BOS,23,35.4,12.0,4.4,8.4,52.3,2.0,4.3,48.0,1.2,1.6,77.8,1.5,7.8,9.3,3.3,0.8,1.3,1.3, 21.2
55,D'Angelo Russell,MIN,6,32.7,12.0,4.0,12.0,33.3,2.0,5.2,38.7,2.0,2.7,75.0,0.0,2.5,2.5,6.7,1.5,0.0,2.8, 11.2
55,Rudy Gobert,UTA,6,32.8,12.0,3.5,5.5,63.6,0.0,0.0,0.0,5.0,7.3,68.2,3.5,9.7,13.2,0.5,0.2,1.0,1.3, 21.2
57,Patrick Williams,CHI,5,30.6,11.8,4.4,9.4,46.8,1.4,4.2,33.3,1.6,2.2,72.7,1.2,4.2,5.4,0.8,1.0,0.6,1.4, 12.6
58,Dorian Finney-Smith,DAL,18,38.2,11.7,4.1,8.7,47.1,2.6,6.0,42.6,0.9,1.3,70.8,1.8,3.7,5.5,1.9,0.9,0.4,1.0, 14.5
59,Chris Boucher,TOR,6,21.7,11.2,4.3,7.0,61.9,1.0,2.5,40.0,1.5,1.7,90.0,2.0,3.8,5.8,0.2,0.2,1.2,0.3, 15.3
