#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Giannis Antetokounmpo,MIL,2,21.5,22.0,8.0,15.5,51.6,0.0,0.0,0.0,6.0,8.5,70.6,2.5,6.0,8.5,3.0,0.0,1.0,1.0, 23.5
2,Anthony Davis,LAL,4,25.5,21.8,9.0,16.5,54.5,1.3,4.3,29.4,2.5,4.8,52.6,1.5,8.0,9.5,2.5,1.0,1.3,1.3, 25.0
3,Jalen Brunson,NYK,4,22.8,21.5,7.0,12.3,57.1,1.8,4.0,43.8,5.8,6.8,85.2,0.3,1.8,2.0,4.3,0.3,0.0,1.8, 20.0
4,Anthony Edwards,MIN,3,27.0,21.0,8.0,18.7,42.9,4.3,12.3,35.1,0.7,1.3,50.0,0.0,3.0,3.0,3.0,0.3,0.0,2.0, 14.0
5,Jalen Green,HOU,4,23.8,20.5,6.3,14.3,43.9,4.0,9.3,43.2,4.0,5.0,80.0,0.3,3.0,3.3,1.0,0.5,0.5,1.8, 15.0
6,Coby White,CHI,3,29.0,19.3,6.0,12.7,47.4,3.3,7.3,45.5,4.0,4.7,85.7,0.3,3.3,3.7,5.0,0.7,0.0,2.7, 18.7
7,Julian Strawther,DEN,5,28.0,18.8,6.0,11.4,52.6,2.6,5.2,50.0,4.2,5.4,77.8,0.2,2.4,2.6,2.6,0.2,0.6,2.0, 16.2
8,Karl-Anthony Towns,NYK,4,25.5,18.3,5.3,14.0,37.5,1.0,5.8,17.4,6.8,7.8,87.1,2.8,8.3,11.0,1.5,1.5,0.8,1.3, 22.0
8,Scottie Barnes,TOR,4,25.8,18.3,7.3,13.5,53.7,2.0,5.3,38.1,1.8,3.0,58.3,1.0,5.0,6.0,4.0,1.5,0.5,3.5, 19.3
10,Brandon Ingram,NOP,1,21.0,18.0,7.0,13.0,53.8,2.0,3.0,66.7,2.0,2.0,100,0.0,3.0,3.0,3.0,0.0,0.0,1.0, 17.0
10,Dalton Knecht,LAL,5,26.6,18.0,6.2,14.2,43.7,3.6,10.0,36.0,2.0,2.4,83.3,1.6,2.6,4.2,2.0,1.4,0.8,2.2, 15.8
10,Zach LaVine,CHI,4,25.0,18.0,6.0,11.3,53.3,2.8,5.5,50.0,3.3,3.8,86.7,0.5,2.8,3.3,3.3,1.3,0.0,1.3, 18.8
13,Desmond Bane,MEM,4,24.0,17.5,7.3,14.0,51.8,2.3,6.0,37.5,0.8,1.3,60.0,0.8,3.0,3.8,3.8,1.0,1.0,1.8, 18.0
14,Brandon Miller,CHA,5,23.8,17.4,5.8,12.8,45.3,4.2,8.6,48.8,1.6,1.8,88.9,0.6,3.0,3.6,2.2,0.4,0.6,1.2, 15.8
15,Miles McBride,NYK,3,28.0,17.3,6.0,16.0,37.5,3.3,9.0,37.0,2.0,2.0,100,0.0,0.7,0.7,3.7,0.7,0.3,1.3, 11.3
16,Jayson Tatum,BOS,4,24.8,17.3,6.0,14.5,41.4,3.5,9.0,38.9,1.8,2.5,70.0,1.0,5.3,6.3,5.3,1.3,0.3,1.5, 19.5
17,Domantas Sabonis,SAC,5,27.2,17.2,6.4,12.4,51.6,0.2,2.2,9.1,4.2,5.8,72.4,3.8,7.2,11.0,5.6,1.2,0.4,3.6, 24.2
18,RJ Barrett,TOR,1,14.0,17.0,7.0,10.0,70.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0, 13.0
19,Alperen Sengun,HOU,4,24.5,16.8,5.5,8.3,66.7,0.5,1.5,33.3,5.3,6.8,77.8,1.3,6.0,7.3,2.8,1.3,0.3,2.8, 21.3
