Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,20,240.0,45.6,89.2,.511,15.2,37.7,.402,30.5,51.5,.592,16.0,20.3,.788,9.3,33.7,42.9,28.2,9.3,4.9,13.1,18.5,122.4
Boston Celtics,19,243.9,41.8,90.3,.464,19.2,50.7,.378,22.7,39.5,.574,18.3,22.7,.806,10.1,33.2,43.3,25.9,7.3,5.3,11.6,16.6,121.2
Memphis Grizzlies,20,240.0,44.7,91.9,.486,12.9,36.7,.350,31.9,55.2,.577,18.7,24.4,.768,12.5,35.8,48.3,30.4,8.3,7.3,17.1,21.1,121.0
Chicago Bulls,21,240.0,43.1,90.8,.475,16.4,42.9,.383,26.7,48.0,.556,15.9,20.1,.789,8.9,35.2,44.1,28.7,7.0,4.6,15.4,18.4,118.5
New York Knicks,19,240.0,43.9,87.9,.499,14.0,35.9,.390,29.9,52.1,.574,16.0,19.3,.831,9.5,32.3,41.8,27.7,7.0,3.9,12.4,17.9,117.8
Denver Nuggets,17,242.9,42.9,89.5,.480,12.5,32.2,.389,30.4,57.3,.531,19.4,25.2,.769,11.8,33.1,44.8,29.9,8.6,4.8,14.1,18.6,117.8
Dallas Mavericks,19,241.3,43.8,90.6,.484,12.4,34.8,.356,31.4,55.7,.564,17.4,22.3,.781,11.5,33.9,45.4,25.3,7.8,5.4,13.3,20.8,117.5
Golden State Warriors,18,241.4,42.7,93.0,.459,15.9,42.3,.377,26.8,50.7,.528,15.4,22.1,.696,13.7,35.7,49.3,30.0,9.1,5.5,14.6,21.4,116.8
Atlanta Hawks,20,240.0,42.6,92.2,.462,12.7,36.1,.351,30.0,56.1,.534,18.8,24.0,.783,12.3,32.8,45.1,29.9,10.0,5.5,16.2,19.0,116.6
Houston Rockets,20,243.8,42.1,95.3,.441,11.8,35.8,.329,30.3,59.5,.509,18.5,24.1,.768,14.2,35.8,50.0,23.2,9.4,5.8,13.4,20.6,114.4
Indiana Pacers,20,242.5,42.7,87.9,.486,12.3,33.0,.373,30.4,54.9,.554,16.7,21.4,.778,9.1,31.1,40.2,27.6,8.5,5.0,14.8,20.5,114.4
Los Angeles Lakers,19,240.0,41.3,85.8,.481,12.3,33.9,.363,28.9,51.9,.557,19.6,25.0,.783,9.0,31.5,40.5,26.9,7.4,4.5,12.9,16.1,114.4
Oklahoma City Thunder,19,240.0,42.2,91.9,.459,13.5,39.2,.345,28.7,52.7,.544,15.9,19.8,.804,10.0,33.1,43.1,25.2,11.9,6.7,12.0,20.9,113.9
